Chromosome,Position,target
chr19,58347469.0,A1BG
chr19,58347540.0,A1BG
chr10,50816216.0,A1CF
chr10,50836121.0,A1CF
chr12,9074758.0,A2M
chr12,9107557.0,A2M
chr12,8836263.0,A2ML1
chr12,8841466.0,A2ML1
chr1,33307210.0,A3GALT2
chr1,33306979.0,A3GALT2
chr22,42693617.0,A4GALT
chr22,42693606.0,A4GALT
chr3,138124812.0,A4GNT
chr3,138124610.0,A4GNT
chr12,53309628.0,AAAS
chr12,53314358.0,AAAS
chr12,125065675.0,AACS
chr12,125114546.0,AACS
chr3,151814235.0,AADAC
chr3,151827777.0,AADAC
chr3,151757038.0,AADACL2
chr3,151757145.0,AADACL2
chr1,12719656.0,AADACL3
chr1,12725381.0,AADACL3
chr1,12651298.0,AADACL4
chr1,12666083.0,AADACL4
chr4,170078536.0,AADAT
chr4,170069142.0,AADAT
chr15,67204113.0,AAGAB
chr15,67209474.0,AAGAB
chr2,69532147.0,AAK1
chr2,69542526.0,AAK1
chr11,77872191.0,AAMDC
chr11,77842578.0,AAMDC
chr2,218265829.0,AAMP
chr2,218267569.0,AAMP
chr17,76468881.0,AANAT
chr17,76469863.0,AANAT
chr20,36239977.0,AAR2
chr20,36244879.0,AAR2
chr8,116938417.0,AARD
chr8,116938373.0,AARD
chr16,70269671.0,AARS1
chr16,70262393.0,AARS1
chr6,44307329.0,AARS2
chr6,44307314.0,AARS2
chr17,42964397.0,AARSD1
chr17,42964414.0,AARSD1
chr4,56354173.0,AASDH
chr4,56349937.0,AASDH
chr11,106091354.0,AASDHPPT
chr11,106079651.0,AASDHPPT
chr7,122092891.0,AASS
chr7,122101432.0,AASS
chr17,36952958.0,AATF
chr17,36986716.0,AATF
chr17,81124765.0,AATK
chr17,81127821.0,AATK
chr16,8768941.0,ABAT
chr16,8768971.0,ABAT
chr9,104826983.0,ABCA1
chr9,104832586.0,ABCA1
chr17,69152094.0,ABCA10
chr17,69153930.0,ABCA10
chr2,214997698.0,ABCA12
chr2,214978805.0,ABCA12
chr7,48367897.0,ABCA13
chr7,48239270.0,ABCA13
chr16,2340895.0,ABCA17P
chr16,2340895.0,ABCA17P
chr9,137019250.0,ABCA2
chr9,137021953.0,ABCA2
chr16,2308543.0,ABCA3
chr16,2286751.0,ABCA3
chr1,94036740.0,ABCA4
chr1,94098953.0,ABCA4
chr17,69271216.0,ABCA5
chr17,69260358.0,ABCA5
chr17,69085096.0,ABCA6
chr17,69137480.0,ABCA6
chr19,1051559.0,ABCA7
chr19,1048908.0,ABCA7
chr17,68918087.0,ABCA8
chr17,68921451.0,ABCA8
chr17,68995924.0,ABCA9
chr17,69045333.0,ABCA9
chr7,87545993.0,ABCB1
chr7,87509359.0,ABCB1
chr1,229539523.0,ABCB10
chr1,229542314.0,ABCB10
chr2,168973818.0,ABCB11
chr2,168986108.0,ABCB11
chr7,87440274.0,ABCB4
chr7,87443386.0,ABCB4
chr7,20645795.0,ABCB5
chr7,20658553.0,ABCB5
chr2,219214452.0,ABCB6
chr2,219218659.0,ABCB6
chrX,75069416.0,ABCB7
chrX,75060268.0,ABCB7
chr7,151034355.0,ABCB8
chr7,151034372.0,ABCB8
chr12,122940911.0,ABCB9
chr12,122959982.0,ABCB9
chr16,16090539.0,ABCC1
chr16,16016605.0,ABCC1
chr6,43441908.0,ABCC10
chr6,43434767.0,ABCC10
chr16,48214927.0,ABCC11
chr16,48222610.0,ABCC11
chr16,48133699.0,ABCC12
chr16,48143941.0,ABCC12
chr10,99792327.0,ABCC2
chr10,99818797.0,ABCC2
chr17,50655973.0,ABCC3
chr17,50657091.0,ABCC3
chr13,95234736.0,ABCC4
chr13,95186790.0,ABCC4
chr3,183971587.0,ABCC5
chr3,183971801.0,ABCC5
chr16,16178959.0,ABCC6
chr16,16192885.0,ABCC6
chr16,16223562.0,ABCC6P1
chr16,18571149.0,ABCC6P1
chr16,16223562.0,ABCC6P1
chr16,18571149.0,ABCC6P1
chr11,17442849.0,ABCC8
chr11,17470145.0,ABCC8
chr12,21894056.0,ABCC9
chr12,21910832.0,ABCC9
chrX,153725713.0,ABCD1
chrX,153726023.0,ABCD1
chr12,39618992.0,ABCD2
chr12,39619314.0,ABCD2
chr1,94418512.0,ABCD3
chr1,94475233.0,ABCD3
chr14,74287822.0,ABCD4
chr14,74293225.0,ABCD4
chr4,145108086.0,ABCE1
chr4,145108033.0,ABCE1
chr6,30571525.0,ABCF1
chr6,30583075.0,ABCF1
chr7,151223843.0,ABCF2
chr7,151223821.0,ABCF2
chr3,184188360.0,ABCF3
chr3,184189651.0,ABCF3
chr21,42284610.0,ABCG1
chr21,42285905.0,ABCG1
chr4,88121783.0,ABCG2
chr4,88114997.0,ABCG2
chr11,119158595.0,ABCG4
chr11,119154329.0,ABCG4
chr2,43823988.0,ABCG5
chr2,43837930.0,ABCG5
chr2,43872266.0,ABCG8
chr2,43852453.0,ABCG8
chr2,27129327.0,ABHD1
chr2,27128515.0,ABHD1
chr3,111986309.0,ABHD10
chr3,111986295.0,ABHD10
chr7,73737611.0,ABHD11
chr7,73737612.0,ABHD11
chr20,25303586.0,ABHD12
chr20,25317054.0,ABHD12
chr14,50885786.0,ABHD12B
chr14,50885831.0,ABHD12B
chr13,108229809.0,ABHD13
chr13,108230112.0,ABHD13
chr3,51980516.0,ABHD14A
chr3,51980410.0,ABHD14A
chr3,51987360.0,ABHD14A-ACY1
chr3,51987029.0,ABHD14A-ACY1
chr3,51969941.0,ABHD14B
chr3,51970073.0,ABHD14B
chr17,29566396.0,ABHD15
chr17,29566328.0,ABHD15
chr6,31689586.0,ABHD16A
chr6,31689056.0,ABHD16A
chr20,63862198.0,ABHD16B
chr20,63861652.0,ABHD16B
chr19,1877428.0,ABHD17A
chr19,1880108.0,ABHD17A
chr9,71866904.0,ABHD17B
chr9,71875034.0,ABHD17B
chr15,80749582.0,ABHD17C
chr15,80749580.0,ABHD17C
chr4,128020100.0,ABHD18
chr4,128017482.0,ABHD18
chr15,89155438.0,ABHD2
chr15,89175811.0,ABHD2
chr18,21703673.0,ABHD3
chr18,21703678.0,ABHD3
chr14,22603932.0,ABHD4
chr14,22604059.0,ABHD4
chr3,43702426.0,ABHD5
chr3,43702576.0,ABHD5
chr3,58271037.0,ABHD6
chr3,58285109.0,ABHD6
chr19,17292807.0,ABHD8
chr19,17294787.0,ABHD8
chr10,26860792.0,ABI1
chr10,26860789.0,ABI1
chr2,203417044.0,ABI2
chr2,203391092.0,ABI2
chr17,49217762.0,ABI3
chr17,49217751.0,ABI3
chr3,100754643.0,ABI3BP
chr3,100886199.0,ABI3BP
chr9,108936315.0,ABITRAM
chr9,108935676.0,ABITRAM
chr9,130862817.0,ABL1
chr9,130872890.0,ABL1
chr1,179121814.0,ABL2
chr1,179126462.0,ABL2
chr10,114488001.0,ABLIM1
chr10,114465754.0,ABLIM1
chr4,8036203.0,ABLIM2
chr4,8036161.0,ABLIM2
chr5,149217014.0,ABLIM3
chr5,149237508.0,ABLIM3
chr9,133257430.0,ABO
chr9,133258109.0,ABO
chr17,1013159.0,ABR
chr17,1007213.0,ABR
chr8,106761351.0,ABRA
chr8,106769517.0,ABRA
chr6,139034185.0,ABRACL
chr6,139042772.0,ABRACL
chr4,83470244.0,ABRAXAS1
chr4,83462629.0,ABRAXAS1
chr10,124801884.0,ABRAXAS2
chr10,124801824.0,ABRAXAS2
chr6,26597983.0,ABT1
chr6,26597982.0,ABT1
chr3,127677807.0,ABTB1
chr3,127676571.0,ABTB1
chr11,34165320.0,ABTB2
chr11,34357445.0,ABTB2
chr3,38131964.0,ACAA1
chr3,38136656.0,ACAA1
chr18,49797473.0,ACAA2
chr18,49785237.0,ACAA2
chr17,37283362.0,ACACA
chr17,37191133.0,ACACA
chr12,109168021.0,ACACB
chr12,109209315.0,ACACB
chr12,111729846.0,ACAD10
chr12,111744780.0,ACAD10
chr3,132575883.0,ACAD11
chr3,132559882.0,ACAD11
chr11,134261153.0,ACAD8
chr11,134257091.0,ACAD8
chr3,128902566.0,ACAD9
chr3,128904508.0,ACAD9
chr2,210195223.0,ACADL
chr2,210216450.0,ACADL
chr1,75750502.0,ACADM
chr1,75761297.0,ACADM
chr12,120737120.0,ACADS
chr12,120738439.0,ACADS
chr10,123053121.0,ACADSB
chr10,123051055.0,ACADSB
chr17,7221585.0,ACADVL
chr17,7221047.0,ACADVL
chr15,88847957.0,ACAN
chr15,88841769.0,ACAN
chr17,7347194.0,ACAP1
chr17,7336790.0,ACAP1
chr3,195307321.0,ACAP2
chr3,195302032.0,ACAP2
chr1,1302934.0,ACAP3
chr1,1294145.0,ACAP3
chr11,108138965.0,ACAT1
chr11,108142464.0,ACAT1
chr6,159776177.0,ACAT2
chr6,159776192.0,ACAT2
