Chromosome,Position,target
chr1,70575.0,OR4F5
chr1,90327.0,ENSG00000239945
chr1,111508.0,ENSG00000238009
chr1,132930.0,CICP27
chr1,135517.0,ENSG00000268903
chr1,137823.0,ENSG00000269981
chr1,140064.0,ENSG00000239906
chr1,157667.0,ENSG00000241860
chr1,157835.0,RNU6-1100P
chr1,160985.0,ENSG00000241599
chr1,183434.0,DDX11L17
chr1,187924.0,MIR6859-2
chr1,190313.0,WASH9P
chr1,260164.0,ENSG00000228463
chr1,267754.0,ENSG00000286448
chr1,308772.0,ENSG00000228463
chr1,348173.0,RPL23AP24
chr1,362454.0,ENSG00000236601
chr1,408075.0,ENSG00000290385
chr1,440050.0,WBP1LP7
chr1,450750.0,OR4F29
chr1,451523.0,OR4F29
chr1,485116.0,ENSG00000237094
chr1,487148.0,ENSG00000290385
chr1,488503.0,CICP7
chr1,492232.0,ENSG00000250575
chr1,516427.0,U6
chr1,540521.0,Intergenic region between OR4F16 and LOC101928626
chr1,591198.0,ENSG00000235146
chr1,607872.0,ENSG00000230021
chr1,629247.0,MTND1P23
chr1,629656.0,MTND2P28
chr1,630267.0,MTND2P28
chr1,631331.0,ENSG00000230021
chr1,631844.0,MTCO1P12
chr1,632368.0,ENSG00000278791
chr1,632783.0,MTCO2P12
chr1,633664.0,MTATP8P1
chr1,634035.0,MTATP6P1
chr1,634648.0,MTCO3P12
chr1,659663.0,ENSG00000230021
chr1,675053.0,WBP1LP6
chr1,685726.0,OR4F16
chr1,686499.0,OR4F16
chr1,723497.0,CICP3
chr1,752286.0,ENSG00000291215
chr1,756650.0,ENSG00000230021
chr1,758284.0,RNU6-1199P
chr1,761449.0,ENSG00000229905
chr1,769501.0,ENSG00000228327
chr1,781993.0,ENSG00000285268
chr1,794405.0,LINC01409
chr1,807979.0,ENSG00000230092
chr1,809295.0,ENSG00000290784
chr1,818603.0,FAM87B
chr1,825591.0,LINC00115
chr1,826046.0,LINC01128
chr1,843708.0,LINC01128
chr1,849001.0,LINC01128
chr1,864213.0,ENSG00000288531
chr1,869051.0,FAM41C
chr1,873514.0,FAM41C
chr1,873820.0,TUBB8P11
chr1,875881.0,ENSG00000283040
chr1,902979.0,Intergenic region between C2orf27B and SAMD11
chr1,910404.0,ENSG00000272438
chr1,913191.0,ENSG00000230699
chr1,914570.0,ENSG00000241180
chr1,918940.0,LINC02593
chr1,929877.0,SAMD11
chr1,937459.0,SAMD11
chr1,941959.0,SAMD11
chr1,946308.0,NOC2L
chr1,948738.0,NOC2L
chr1,955090.0,NOC2L
chr1,958166.0,NOC2L
chr1,959344.0,Intergenic region between NOC2L and KLHL17
chr1,961124.0,KLHL17
chr1,963202.0,KLHL17
chr1,964845.0,KLHL17
chr1,965290.0,KLHL17
chr1,966545.0,PLEKHN1
chr1,968502.0,PLEKHN1
chr1,972570.0,PLEKHN1
chr1,974929.0,PLEKHN1
chr1,976644.0,PERM1
chr1,977246.0,PERM1
chr1,981417.0,PERM1
chr1,990060.0,Intergenic region between PERM1 and HES4
chr1,997008.0,ENSG00000272512
chr1,999181.0,HES4
chr1,1000069.0,HES4
chr1,1007103.0,ISG15
chr1,1007688.0,ISG15
chr1,1008152.0,ENSG00000231702
chr1,1012594.0,ENSG00000224969
chr1,1014486.0,ISG15
chr1,1017382.0,Intergenic region between ISG15 and AGRN
chr1,1020225.0,AGRN
chr1,1030552.0,AGRN
chr1,1042598.0,AGRN
chr1,1050263.0,AGRN
chr1,1055574.0,ENSG00000242590
chr1,1058314.0,Intergenic region between AGRN and RNF223
chr1,1062747.0,ENSG00000273443
chr1,1063072.0,ENSG00000291156
chr1,1066216.0,ENSG00000217801
chr1,1071593.0,RNF223
chr1,1073360.0,RNF223
chr1,1079152.0,Intergenic region between RNF223 and C1orf159
chr1,1083853.0,C1orf159
chr1,1086738.0,C1orf159
chr1,1089248.0,C1orf159
chr1,1101091.0,ENSG00000285812
chr1,1103657.0,C1orf159
chr1,1129043.0,Intergenic region between C1orf159 and MIR200A
chr1,1140536.0,LINC01342
chr1,1167117.0,MIR200B
chr1,1167185.0,MIR200B
chr1,1167907.0,MIR200A
chr1,1169045.0,MIR429
chr1,1169849.0,ENSG00000272141
chr1,1173746.0,TTLL10-AS1
chr1,1176305.0,TTLL10-AS1
chr1,1177100.0,TTLL10
chr1,1181189.0,TTLL10
chr1,1189870.0,TTLL10
chr1,1192868.0,TTLL10
chr1,1203720.0,TNFRSF18
chr1,1204919.0,TNFRSF18
chr1,1206020.0,TNFRSF18
chr1,1208573.0,Intergenic region between TNFRSF18 and TNFRSF4
chr1,1211511.0,TNFRSF4
chr1,1212902.0,TNFRSF4
chr1,1214121.0,TNFRSF4
chr1,1216492.0,Intergenic region between TNFRSF4 and SDF4
chr1,1217913.0,SDF4
chr1,1221396.0,SDF4
chr1,1226223.0,SDF4
chr1,1230340.0,SDF4
chr1,1230898.0,SDF4
chr1,1232691.0,B3GALT6
chr1,1234143.0,B3GALT6
chr1,1238360.0,Intergenic region between B3GALT6 and C1QTNF12
chr1,1242960.0,C1QTNF12
chr1,1245449.0,C1QTNF12
chr1,1246690.0,C1QTNF12
chr1,1250555.0,ENSG00000260179
chr1,1250967.0,ENSG00000260179
chr1,1254592.0,UBE2J2
chr1,1256162.0,UBE2J2
chr1,1265556.0,UBE2J2
chr1,1269258.0,UBE2J2
chr1,1277821.0,LINC01786
chr1,1280852.0,SCNN1D
chr1,1282649.0,SCNN1D
chr1,1285148.0,SCNN1D
chr1,1289417.0,SCNN1D
chr1,1290475.0,SCNN1D
chr1,1293267.0,ACAP3
chr1,1296139.0,MIR6726
chr1,1297016.0,ACAP3
chr1,1301756.0,ACAP3
chr1,1306049.0,ACAP3
chr1,1308880.0,PUSL1
chr1,1309584.0,ACAP3
chr1,1310618.0,PUSL1
chr1,1311726.0,INTS11
chr1,1312533.0,MIR6727
chr1,1312738.0,INTS11
chr1,1317099.0,INTS11
chr1,1318134.0,ENSG00000240731
chr1,1322017.0,INTS11
chr1,1323320.0,INTS11
chr1,1326023.0,CPTP
chr1,1328261.0,CPTP
chr1,1329689.0,Intergenic region between CPTP and TAS1R3
chr1,1331516.0,TAS1R3
chr1,1334130.0,TAS1R3
chr1,1336271.0,DVL1
chr1,1337436.0,DVL1
chr1,1339678.0,MIR6808
chr1,1340824.0,DVL1
chr1,1345850.0,DVL1
chr1,1349213.0,DVL1
chr1,1352027.0,Intergenic region between DVL1 and MXRA8
chr1,1353867.0,MXRA8
chr1,1358666.0,MXRA8
chr1,1364801.0,Intergenic region between MXRA8 and AURKAIP1
chr1,1373887.0,AURKAIP1
chr1,1374702.0,AURKAIP1
chr1,1378848.0,NDUFB4P8
chr1,1381009.0,Intergenic region between AURKAIP1 and CCNL2
chr1,1386766.0,CCNL2
chr1,1389065.0,CCNL2
chr1,1395081.0,CCNL2
chr1,1398985.0,CCNL2
chr1,1400780.0,MRPL20-AS1
chr1,1404525.0,MRPL20
chr1,1405605.0,RN7SL657P
chr1,1407250.0,MRPL20
chr1,1409856.0,MRPL20-DT
chr1,1413643.0,Intergenic region between MRPL20 and ANKRD65
chr1,1419249.0,ANKRD65
chr1,1421364.0,ANKRD65
chr1,1421825.0,ANKRD65-AS1
chr1,1423544.0,Intergenic region between ANKRD65 and TMEM88B
chr1,1426000.0,TMEM88B
chr1,1426973.0,TMEM88B
chr1,1428937.0,TMEM88B
chr1,1431179.0,LINC01770
chr1,1432555.0,LINC01770
chr1,1436232.0,VWA1
chr1,1440157.0,VWA1
chr1,1445922.0,Intergenic region between VWA1 and ATAD3C
chr1,1452049.0,ATAD3C
chr1,1455132.0,ATAD3C
chr1,1459247.0,ATAD3C
chr1,1466407.0,ATAD3C
chr1,1472420.0,ATAD3B
chr1,1476976.0,ATAD3B
